"","Name","Product"
"b2247","rhmD","L-rhamnonate dehydratase"
"b2248","rhmR","putative DNA-binding transcriptional regulator for the rhm operon"
"b2249","yfaY","inactive PncC family protein"
"b2250","yfaZ","outer membrane protein, putative porin"
"b2251","nudI","nucleoside triphosphatase"
"b2252","ais","putative LPS core heptose(II)-phosphate phosphatase"
"b2253","arnB","uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent"
"b2254","arnC","undecaprenyl phosphate-L-Ara4FN transferase"
"b2255","arnA","fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase"
"b2256","arnD","undecaprenyl phosphate-alpha-L-ara4FN deformylase"
"b2257","arnT","4-amino-4-deoxy-L-arabinose transferase"
"b4544","arnE","undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit"
"b2258","arnF","undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit"
"b2259","pmrD","inactive two-component system connector protein"
"b2260","menE","O-succinylbenzoate-CoA ligase"
"b2261","menC","O-succinylbenzoyl-CoA synthase"
"b2262","menB","dihydroxynaphthoic acid synthetase"
"b2263","menH","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
"b2264","menD","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase; SEPHCHC synthase"
"b2265","menF","isochorismate synthase 2"
"b2266","elaB","DUF883 family protein, putative membrane-anchored ribosome-binding protein"
"b2267","elaA","putative acyl-CoA transferase"
"b2268","rbn","RNase BN, tRNA processing enzyme"
"b2269","elaD","protease, capable of cleaving an AMC-ubiquitin model substrate"
"b2270","yfbK","Von Willebrand factor domain putative lipoprotein"
"b2271","yfbL","putative peptidase"
"b2272","yfbM","DUF1877 family protein"
"b2273","yfbN","uncharacterized protein"
"b2274","yfbO","uncharacterized protein"
"b2275","yfbP","TPR-like repeats-containing protein"
"b2276","nuoN","NADH:ubiquinone oxidoreductase, membrane subunit N"
"b2277","nuoM","NADH:ubiquinone oxidoreductase, membrane subunit M"
"b2278","nuoL","NADH:ubiquinone oxidoreductase, membrane subunit L"
"b2279","nuoK","NADH:ubiquinone oxidoreductase, membrane subunit K"
"b2280","nuoJ","NADH:ubiquinone oxidoreductase, membrane subunit J"
"b2281","nuoI","NADH:ubiquinone oxidoreductase, chain I"
"b2282","nuoH","NADH:ubiquinone oxidoreductase, membrane subunit H"
"b2283","nuoG","NADH:ubiquinone oxidoreductase, chain G"
"b2284","nuoF","NADH:ubiquinone oxidoreductase, chain F"
"b2285","nuoE","NADH:ubiquinone oxidoreductase, chain E"
"b2286","nuoC","NADH:ubiquinone oxidoreductase, fused CD subunit"
"b2287","nuoB","NADH:ubiquinone oxidoreductase, chain B"
"b2288","nuoA","NADH:ubiquinone oxidoreductase, membrane subunit A"
"b2289","lrhA","transcriptional repressor of flagellar, motility and chemotaxis genes"
"b2290","alaA","valine-pyruvate aminotransferase 2"
"b2291","yfbR","5'-nucleotidase"
"b2292","yfbS","putative transporter"
"b2293","yfbT","sugar phosphatas"
"b2294","yfbU","UPF0304 family protein"
"b2295","yfbV","UPF0208 family inner membrane protein"
"b2296","ackA","acetate kinase A and propionate kinase 2"
"b2297","pta","phosphate acetyltransferase"
"b2298","yfcC","putative inner membrane transporter, C4-dicarboxylate anaerobic carrier family"
"b2299","yfcD","putative NUDIX hydrolase"
"b2300","yfcE","phosphodiesterase activity on bis-pNPP"
"b2301","yfcF","glutathione S-transferase"
"b2302","yfcG","GSH-dependent disulfide bond oxidoreductase"
"b2303","folX","D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase"
"b2304","yfcH","putative NAD-dependent nucleotide-sugar epimerase"
"b2305","yfcI","transposase_31 family protein"
"b2306","hisP","histidine/lysine/arginine/ornithine transporter subunit"
"b2307","hisM","histidine/lysine/arginine/ornithine transporter subunit"
"b2308","hisQ","histidine/lysine/arginine/ornithine transporter permease subunit"
"b2309","hisJ","histidine/lysine/arginine/ornithine transporter subunit"
"b2310","argT","lysine/arginine/ornithine transporter subunit"
"b2311","ubiX","3-octaprenyl-4-hydroxybenzoate carboxy-lyase"
"b2312","purF","amidophosphoribosyltransferase"
"b2313","cvpA","colicin V production membrane protein"
"b2314","dedD","membrane-anchored periplasmic protein involved in septation"
"b2315","folC","bifunctional folylpolyglutamate synthase/ dihydrofolate synthase"
"b2316","accD","acetyl-CoA carboxylase, beta (carboxyltransferase) subunit"
"b2317","dedA","DedA family inner membrane protein"
"b2318","truA","tRNA pseudouridine(38-40) synthase"
"b2319","usg","putative semialdehyde dehydrogenase"
"b2320","pdxB","erythronate-4-phosphate dehydrogenase"
"b2321","flk","putative flagella assembly protein"
"b2322","yfcJ","putative arabinose efflux transporter"
"b2323","fabB","3-oxoacyl-[acyl-carrier-protein] synthase I"
"b2324","mnmC","fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme"
"b2325","yfcL","uncharacterized protein"
"b2326","epmC","Elongation Factor P Lys34 hydroxylase"
"b2327","yfcA","UPF0721 family inner membrane protein"
"b2328","mepA","murein DD-endopeptidase"
"b2329","aroC","chorismate synthase"
"b2330","prmB","N5-glutamine methyltransferase"
"b2331","smrB","putative DNA endonuclease"
"b2332","yfcO","DUF2544 family putative outer membrane protein"
"b2333","yfcP","putative fimbrial-like adhesin protein"
"b2334","yfcQ","putative fimbrial-like adhesin protein"
"b2335","yfcR","putative fimbrial-like adhesin protein"
"b2336","yfcS","putative periplasmic pilin chaperone"
"b2339","yfcV","putative fimbrial-like adhesin protein"
"b2340","sixA","phosphohistidine phosphatase"
"b2341","fadJ","fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase"
"b2342","fadI","beta-ketoacyl-CoA thiolase, anaerobic, subunit"
"b2343","yfcZ","UPF0381 family protein"
"b2344","fadL","long-chain fatty acid outer membrane transporter"
"b2345","yfdF","uncharacterized protein"
"b2346","mlaA","ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component"
"b2347","yfdC","putative inner membrane protein"
"b2348","argW","Arg tRNA"
"b2349","intS","CPS-53 (KpLE1) prophage; putative prophage CPS-53 integrase"
"b2350","gtrA","CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)"
"b2351","gtrB","CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase"
"b2352","gtrS","serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage"
"b2354","yfdK","CPS-53 (KpLE1) prophage; conserved protein"
"b2357","yfdN","CPS-53 (KpLE1) prophage; uncharacterized protein"
"b2359","yfdP","CPS-53 (KpLE1) prophage; uncharacterized protein"
"b2360","yfdQ","CPS-53 (KpLE1) prophage; uncharacterized protein"
"b2361","yfdR","CPS-53 (KpLE1) prophage; conserved protein"
"b2362","yfdS","CPS-53 (KpLE1) prophage; uncharacterized protein"
"b2363","yfdT","CPS-53 (KpLE1) prophage; uncharacterized protein"
"b4501","torI","response regulator inhibitor for tor operon"
"b4643","pawZ","Xaa tRNA"
"b2364","dsdC","dsd operon activator; autorepressor"
"b2365","dsdX","D-serine transporter"
"b2366","dsdA","D-serine dehydratase"
"b2367","emrY","putative multidrug efflux system"
"b2368","emrK","EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component"
"b2369","evgA","response regulator in two-component regulatory system with EvgS"
"b2370","evgS","hybrid sensory histidine kinase in two-component regulatory system with EvgA"
"b2371","yfdE","acetyl-CoA:oxalate CoA-transferase"
"b2372","yfdV","putative transporter"
"b2373","oxc","oxalyl CoA decarboxylase, ThDP-dependent"
"b2374","frc","formyl-CoA transferase, NAD(P)-binding"
"b2375","yfdX","uncharacterized protein"
"b2376","ypdI","putative lipoprotein involved in colanic acid biosynthesis"
"b2377","yfdY","DUF2545 family putative inner membrane protein"
"b2378","lpxP","palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase"
"b4680","ypdK","inner membrane protein"
"b2379","alaC","valine-pyruvate aminotransferase 3"
"b2380","ypdA","sensor kinase regulating yhjX; pyruvate-responsive YpdAB two-component system"
"b2381","ypdB","response regulator activating yhjX; pyruvate-responsive YpdAB two-component system"
"b2382","ypdC","putative DNA-binding protein"
"b2383","fryA","putative PTS enzyme, Hpr component/enzyme I component/enzyme IIA component"
"b2384","ypdE","aminopeptidase"
"b2385","ypdF","Xaa-Pro aminopeptidase"
"b2386","fryC","putative enzyme IIC component of PTS"
"b2387","fryB","putative enzyme IIB component of PTS"
"b2388","glk","glucokinase"
"b2389","yfeO","putative ion channel protein"
"b2390","ypeC","DUF2502 family putative periplasmic protein"
"b2392","mntH","manganese/divalent cation transporter"
"b2393","nupC","nucleoside (except guanosine) transporter"
"b2394","insL1","IS186 transposase"
"b2395","yfeA","putative diguanylate cyclase"
"b2396","alaX","Ala tRNA"
"b2397","alaW","Ala tRNA"
"b2398","yfeC","DUF1323 family putative DNA-binding protein"
"b2399","yfeD","DUF1323 family putative DNA-binding protein"
"b2400","gltX","glutamyl-tRNA synthetase"
"b2401","valU","Val tRNA"
"b2402","valX","Val tRNA"
"b2403","valY","Val tRNA"
"b2404","lysV","Lys tRNA"
"b2405","xapR","transcriptional activator of xapAB"
"b2406","xapB","xanthosine transporter"
"b2407","xapA","purine nucleoside phosphorylase II"
"b2408","yfeN","putative outer membrane protein"
"b2409","yfeR","transcriptional regulator of yefH"
"b2410","yfeH","putative inorganic ion transporter"
"b4546","ypeB","DUF3820 family protein"
"b2411","ligA","DNA ligase, NAD(+)-dependent"
"b2412","zipA","FtsZ stabilizer"
"b2413","cysZ","EI24 family inner membrane protein; putative sulfate transporter"
"b2414","cysK","cysteine synthase A, O-acetylserine sulfhydrolase A subunit"
"b2415","ptsH","phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)"
"b2416","ptsI","PEP-protein phosphotransferase of PTS system (enzyme I)"
"b2417","crr","glucose-specific enzyme IIA component of PTS"
"b2418","pdxK","pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase"
"b2419","yfeK","uncharacterized protein"
"b2420","yfeS","WGR domain protein"
"b2421","cysM","cysteine synthase B (O-acetylserine sulfhydrolase B)"
"b2422","cysA","sulfate/thiosulfate transporter subunit"
"b2423","cysW","sulfate/thiosulfate ABC transporter subunit"
"b2424","cysU","sulfate/thiosulfate ABC transporter permease"
"b2425","cysP","thiosulfate-binding protein"
"b2426","ucpA","furfural resistance protein, putative short-chain oxidoreductase"
"b2427","murR","repressor for murPQ, MurNAc 6-P inducible"
"b2428","murQ","N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase"
"b2429","murP","N-acetylmuramic acid permease, EIIBC component, PTS system"
"b2430","yfeW","penicillin binding protein PBP4B; weak DD-carboxypeptidase activity"
"b2431","yfeX","porphyrinogen oxidase, cytoplasmic"
"b2432","yfeY","RpoE-regulated lipoprotein"
"b2433","yfeZ","inner membrane protein"
"b2434","ypeA","putative acyl-CoA transferase"
"b2435","amiA","N-acetylmuramoyl-l-alanine amidase I"
"b2436","hemF","coproporphyrinogen III oxidase"
"b2437","eutR","eut operon transcriptional activator, AraC family"
"b2438","eutK","putative ethanol utilization carboxysome structural protein"
"b2439","eutL","putative ethanol utilization carboxysome structural protein"
"b2440","eutC","ethanolamine ammonia-lyase, small subunit (light chain)"
"b2441","eutB","ethanolamine ammonia-lyase, large subunit, heavy chain"
"b2442","intZ","CPZ-55 prophage; putative phage integrase"
"b2443","yffL","CPZ-55 prophage; uncharacterized protein"
"b2444","yffM","CPZ-55 prophage; uncharacterized protein"
"b2445","yffN","CPZ-55 prophage; uncharacterized protein"
"b2446","yffO","CPZ-55 prophage; uncharacterized protein"
"b2447","yffP","CPZ-55 prophage; uncharacterized protein"
"b2448","yffQ","CPZ-55 prophage; uncharacterized protein"
"b2449","yffR","CPZ-55 prophage; uncharacterized protein"
"b2450","yffS","CPZ-55 prophage; uncharacterized protein"
"b2451","eutA","reactivating factor for ethanolamine ammonia lyase"
"b2452","eutH","ethanolamine transporter"
"b2453","eutG","ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase, converts acetaldehyde to ethanol"
"b2454","eutJ","ethanolamine utilization protein, HSP70/actin superfamily protein"
"b2455","eutE","aldehyde oxidoreductase, ethanolamine utilization protein"
"b2456","eutN","Ethanolamine catabolic microcompartment shell protein"
"b2457","eutM","ethanolamine utilization protein, putative carboxysome structural protein"
"b2458","eutD","phosphate acetyltransferase"
"b2459","eutT","cobalamin adenosyltransferase involved in ethanolamine utilization"
"b2460","eutQ","RmlC-like cupin domain protein"
"b2461","eutP","putative P-loop NTPase ethanolamine utilization protein"
"b2462","eutS","putative ethanol utilization carboxysome structural protein"
"b2463","maeB","malic enzyme: putative oxidoreductase/putative phosphotransacetylase"
"b2464","talA","transaldolase A"
"b2465","tktB","transketolase 2, thiamine triphosphate-binding"
"b2466","ypfG","DUF1176 family protein"
"b2467","nudK","GDP-mannose pyrophosphatase"
"b2468","aegA","putative oxidoreductase, FeS binding subunit/NAD/FAD-binding subunit"
"b2469","narQ","sensory histidine kinase in two-component regulatory system with NarP (NarL)"
"b2470","acrD","aminoglycoside/multidrug efflux system"
"b4606","ypfM","stress-induced small enterobacterial protein"
"b2471","yffB","putative ArsC family reductase"
"b2472","dapE","N-succinyl-diaminopimelate deacylase"
"b4547","ypfN","putative membrane protein, UPF0370 family"
"b2473","ypfH","palmitoyl-CoA esterase activity, uncertain physiological substrate"
"b2474","tmcA","elongator methionine tRNA (ac4C34) acetyltransferase"
"b2475","ypfJ","putative neutral zinc metallopeptidase"
"b2476","purC","phosphoribosylaminoimidazole-succinocarboxamide synthetase"
"b2477","bamC","BamABCDE complex OM biogenesis lipoprotein"
"b2478","dapA","dihydrodipicolinate synthase"
"b2479","gcvR","transcriptional repressor, regulatory protein accessory to GcvA"
"b2480","bcp","peroxiredoxin; thiol peroxidase, thioredoxin-dependent"
"b2481","hyfA","hydrogenase 4, 4Fe-4S subunit"
"b2482","hyfB","hydrogenase 4, membrane subunit"
"b2483","hyfC","hydrogenase 4, membrane subunit"
"b2484","hyfD","hydrogenase 4, membrane subunit"
"b2485","hyfE","hydrogenase 4, membrane subunit"
"b2486","hyfF","hydrogenase 4, membrane subunit"
"b2487","hyfG","hydrogenase 4, subunit"
"b2488","hyfH","hydrogenase 4, Fe-S subunit"
"b2489","hyfI","hydrogenase 4, Fe-S subunit"
"b2490","hyfJ","putative processing element hydrogenase 4"
"b2491","hyfR","hydrogenase-4 transcriptional activator"
"b2492","focB","putative formate transporter"
"b2493","yfgO","putative UPF0118 family inner membrane permease"
"b2494","bepA","periplasmic metalloprotease and chaperone for OM protein maintenance and assembly"
"b2495","yfgD","putative oxidoreductase"
"b2496","hda","ATPase regulatory factor involved in DnaA inactivation"
"b2497","uraA","uracil permease"
"b2498","upp","uracil phosphoribosyltransferase"
"b2499","purM","phosphoribosylaminoimidazole synthetase"
"b2500","purN","phosphoribosylglycinamide formyltransferase 1"
"b2501","ppk","polyphosphate kinase, component of RNA degradosome"
"b2502","ppx","exopolyphosphatase"
"b2503","yfgF","cyclic-di-GMP phosphodiesterase, anaerobic"
"b2504","yfgG","uncharacterized protein"
"b2505","yfgH","outer membrane integrity lipoprotein"
"b2506","yfgI","nalidixic acid resistance protein, putative periplasmic protein"
"b2507","guaA","GMP synthetase (glutamine aminotransferase)"
"b2508","guaB","IMP dehydrogenase"
"b2509","xseA","exonuclease VII, large subunit"
"b2510","yfgJ","DUF1407 family protein"
"b2511","der","GTPase; multicopy suppressor of ftsJ"
"b2512","bamB","BamABCDE complex OM biogenesis lipoprotein"
"b2513","yfgM","putative anti-RcsB factor"
"b2514","hisS","histidyl tRNA synthetase"
"b2515","ispG","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase"
"b2516","rodZ","MreB assembly cytoskeletal protein"
"b2517","rlmN","dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent"
"b2518","ndk","multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase"
"b2519","pbpC","penicillin-insensitive murein repair transglycosylase; inactive transpeptidase domain"
"b2520","yfhM","bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein"
"b2521","sseA","3-mercaptopyruvate sulfurtransferase"
"b4440","ryfA","-"
"b2522","sseB","rhodanase-like enzyme, sulfur transfer from thiosulfate"
"b2523","pepB","aminopeptidase B"
"b2524","iscX","Iron binding protein associated with IscS; putative molecular adaptor of IscS function"
"b2525","fdx","[2Fe-2S] ferredoxin"
"b2526","hscA","DnaK-like molecular chaperone specific for IscU"
"b2527","hscB","HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB"
"b2528","iscA","FeS cluster assembly protein"
"b2529","iscU","iron-sulfur cluster assembly scaffold protein"
"b2530","iscS","cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent"
"b2531","iscR","isc operon transcriptional repressor; suf operon transcriptional activator; oxidative stress- and iron starvation-inducible; autorepressor"
"b2532","trmJ","tRNA mC32,mU32 2'-O-methyltransferase, SAM-dependent"
"b2533","suhB","inositol monophosphatase"
"b2534","yfhR","putative S9 family prolyl oligopeptidase"
"b2535","csiE","stationary phase inducible protein"
"b2536","hcaT","putative 3-phenylpropionic transporter"
"b2537","hcaR","hca operon transcriptional regulator"
"b4706","iroK","3-hydroxypropionic acid resistance peptide"
"b2538","hcaE","3-phenylpropionate dioxygenase, large (alpha) subunit"
"b2539","hcaF","3-phenylpropionate dioxygenase, small (beta) subunit"
"b2540","hcaC","3-phenylpropionate dioxygenase, ferredoxin subunit"
"b2541","hcaB","2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"
"b2542","hcaD","phenylpropionate dioxygenase, ferredoxin reductase subunit"
"b2543","yphA","DoxX family inner membrane protein"
"b2544","yphB","mutarotase superfamily protein, YphB family"
"b2545","yphC","putative Zn-dependent NAD(P)-binding oxidoreductase"
"b2546","yphD","inner membrane putative ABC superfamily sugar transporter permease"
"b2547","yphE","putative sugar transporter subunit of ABC superfamily, ATP-binding component"
"b2548","yphF","putative ABC superfamily sugar transporter periplasmic-binding protein"
"b2549","yphG","DUF4380 domain-containing TPR repeat protein"
"b2550","yphH","putative DNA-binding transcriptional regulator"
"b2551","glyA","serine hydroxymethyltransferase"
"b2552","hmp","fused nitric oxide dioxygenase/dihydropteridine reductase 2"
"b2553","glnB","regulatory protein P-II for glutamine synthetase"
"b2554","glrR","response regulator regulating glmY sRNA in two-component system with sensor protein GlrK"
"b2555","yfhG","putative outer membrane protein modulating the QseEF response"
"b2556","glrK","sensor protein kinase regulating glmY sRNA in two-component system with response regulator GlrR"
"b4441","glmY","-"
"b2557","purL","phosphoribosylformyl-glycineamide synthetase"
"b2558","mltF","membrane-bound lytic transglycosylase F, murein hydrolase"
"b2559","tadA","tRNA-specific adenosine deaminase"
"b2560","pgpC","phosphatidylglycerophosphatase C, membrane bound"
"b2561","yfhH","putative DNA-binding transcriptional regulator"
"b2562","yfhL","putative 4Fe-4S cluster-containing protein"
"b4687","shoB","toxic membrane protein"
"b4608","ohsC","-"
"b2563","acpS","holo-[acyl-carrier-protein] synthase 1"
"b2564","pdxJ","pyridoxine 5'-phosphate synthase"
"b2565","recO","gap repair protein"
"b2566","era","membrane-associated, 16S rRNA-binding GTPase"
"b2567","rnc","RNase III"
"b2568","lepB","leader peptidase (signal peptidase I)"
"b2569","lepA","back-translocating elongation factor EF4, GTPase"
"b2570","rseC","SoxR iron-sulfur cluster reduction factor component; with RsxABCDEG"
"b2571","rseB","anti-sigma E factor, binds RseA"
"b2572","rseA","anti-sigma factor"
"b2573","rpoE","RNA polymerase sigma E factor"
"b2574","nadB","quinolinate synthase, L-aspartate oxidase (B protein) subunit"
"b2575","trmN","tRNA1(Val) (adenine(37)-N6)-methyltransferase"
"b2576","srmB","ATP-dependent RNA helicase"
"b2577","yfiE","putative DNA-binding transcriptional regulator"
"b2578","eamB","cysteine and O-acetylserine exporter"
"b2579","grcA","autonomous glycyl radical cofactor"
"b2580","ung","uracil-DNA-glycosylase"
"b2581","yfiF","putative methyltransferase"
"b2582","trxC","thioredoxin 2"
"b2583","yfiP","DTW domain protein"
"b2584","pka","protein lysine acetyltransferase"
"b2585","pssA","phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)"
"b2586","yfiM","putative lipoprotein"
"b2587","kgtP","alpha-ketoglutarate transporter"
"b2588","rrfG","5S ribosomal RNA of rrnG operon"
"b2589","rrlG","23S ribosomal RNA of rrnG operon"
"b2590","gltW","Glu tRNA"
"b2591","rrsG","16S ribosomal RNA of rrnG operon"
"b2592","clpB","protein disaggregation chaperone"
"b4609","ryfD","-"
"b2593","yfiH","UPF0124 family protein"
"b2594","rluD","23S rRNA pseudouridine(1911,1915,1917) synthase"
"b2595","bamD","BamABCDE complex OM biogenesis lipoprotein"
"b2597","raiA","cold shock protein associated with 30S ribosomal subunit"
"b2598","pheL","pheA gene leader peptide"
"b2599","pheA","chorismate mutase and prephenate dehydratase, P-protein"
"b2600","tyrA","fused chorismate mutase T/prephenate dehydrogenase"
"b2601","aroF","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible"
"b2602","yfiL","lipoprotein"
"b2603","yfiR","putative periplasmic inhibitor of YfiN activity"
"b2604","yfiN","putative membrane-anchored diguanylate cyclase with an N-terminal periplasmic domain"
"b2605","yfiB","OM lipoprotein putative positive effector of YfiN activity"
"b2606","rplS","50S ribosomal subunit protein L19"
"b2607","trmD","tRNA m(1)G37 methyltransferase, SAM-dependent"
"b2608","rimM","16S rRNA processing protein"
"b2609","rpsP","30S ribosomal subunit protein S16"
"b2610","ffh","Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)"
"b2611","ypjD","cytochrome c assembly protein family inner membrane protein"
"b4461","yfjD","UPF0053 family inner membrane protein"
"b2614","grpE","heat shock protein"
"b2615","nadK","NAD kinase"
"b2616","recN","recombination and repair protein"
"b2617","bamE","lipoprotein component of BamABCDE OM biogenesis complex"
"b2618","ratB","UPF0125 family protein"
"b2619","ratA","toxic UPF0083 family protein inhibitor of 70S ribosome formation"
"b2620","smpB","trans-translation protein"
"b2621","ssrA","-"
"b2622","intA","CP4-57 prophage; integrase"
"b2623","yfjH","CP4-57 prophage; uncharacterized protein"
"b2624","alpA","CP4-57 prophage; DNA-binding transcriptional activator"
"b2625","yfjI","CP4-57 prophage; uncharacterized protein"
"b2626","yfjJ","CP4-57 prophage; uncharacterized protein"
"b2627","yfjK","DEAD/H helicase-like protein, CP4-57 putative defective prophage"
"b2628","yfjL","CP4-57 putative defective prophage, DUF4297/DUF1837 polymorphic toxin family protein"
"b2629","yfjM","CP4-57 prophage; uncharacterized protein"
"b2630","rnlA","CP4-57 prophage; RNase LS"
"b2631","rnlB","CP4-57 prophage; uncharacterized protein"
"b2632","yfjP","CP4-57 prophage; 50S ribosome-binding GTPase family protein"
"b2633","yfjQ","CP4-57 prophage; uncharacterized protein"
"b2634","yfjR","CP4-57 prophage; putative DNA-binding transcriptional regulator"
"b2635","ypjK","CP4-57 prophage; putative inner membrane protein"
"b2636","yfjS","CP4-57 prophage; uncharacterized protein"
"b2637","yfjT","CP4-57 prophage; putative periplasmic protein"
"b2642","yfjW","CP4-57 prophage; putative inner membrane protein"
"b2643","yfjX","CP4-57 prophage; putative antirestriction protein"
"b2644","yfjY","CP4-57 prophage; putative DNA repair protein"
"b4548","ypjJ","uncharacterized protein"
"b2645","yfjZ","CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system"
"b2646","ypjF","CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system"
"b4645","psaA","-"
"b2647","ypjA","adhesin-like autotransporter"
"b2652","ileY","Ile tRNA"
"b2659","csiD","carbon starvation protein"
"b2660","lhgO","L-2-hydroxyglutarate oxidase"
"b2661","gabD","succinate-semialdehyde dehydrogenase I, NADP-dependent"
"b2662","gabT","4-aminobutyrate aminotransferase, PLP-dependent"
"b2663","gabP","gamma-aminobutyrate transporter"
"b2664","csiR","transcriptional repressor of csiD"
"b2665","ygaU","uncharacterized protein"
"b2666","yqaE","cyaR sRNA-regulated protein"
"b2667","ygaV","tributyltin-inducible repressor of ygaVP"
"b2668","ygaP","DUF2892 family inner membrane rhodanese"
"b2669","stpA","DNA binding protein, nucleoid-associated"
"b2670","alaE","alanine exporter, alanine-inducible, stress-responsive"
"b2671","ygaC","uncharacterized protein"
"b2672","ygaM","DUF883 family protein, putative membrane-anchored ribosome-binding protein"
"b2673","nrdH","hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein"
"b2674","nrdI","NrdEF cluster assembly flavodoxin"
"b2675","nrdE","ribonucleoside-diphosphate reductase 2, alpha subunit"
"b2676","nrdF","ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein"
"b2677","proV","glycine betaine transporter subunit"
"b2678","proW","glycine betaine transporter subunit"
"b2679","proX","glycine betaine transporter subunit"
"b2682","ygaZ","putative L-valine exporter, norvaline resistance protein"
"b2683","ygaH","putative L-valine exporter, norvaline resistance protein"
"b2684","mprA","transcriptional repressor of microcin B17 synthesis and multidrug efflux"
"b2685","emrA","multidrug efflux system"
"b2686","emrB","multidrug efflux system protein"
"b2687","luxS","S-ribosylhomocysteine lyase"
"b4442","micA","-"
"b2688","gshA","glutamate-cysteine ligase"
"b2689","yqaA","COG1238 family inner membrane protein"
"b2690","yqaB","fructose-1-P and 6-phosphogluconate phosphatase"
"b2691","argQ","Arg tRNA"
"b2692","argZ","Arg tRNA"
"b2693","argY","Arg tRNA"
"b2694","argV","Arg tRNA"
"b2695","serV","Ser tRNA"
"b2696","csrA","pleiotropic regulatory protein for carbon source metabolism"
"b2697","alaS","alanyl-tRNA synthetase"
"b2698","recX","regulatory protein for RecA"
"b2699","recA","DNA recombination and repair protein; ssDNA-dependent ATPase; synaptase; ssDNA and dsDNA binding protein forming filaments; ATP-dependent homologous DNA strand exchanger; recombinase A; LexA autocleavage cofactor"
"b2700","pncC","nicotinamide-nucleotide amidohydrolase; NMN amidohydrolase"
"b2701","mltB","membrane-bound lytic murein transglycosylase B"
"b2702","srlA","glucitol/sorbitol-specific enzyme IIC component of PTS"
"b2703","srlE","glucitol/sorbitol-specific enzyme IIB component of PTS"
"b2704","srlB","glucitol/sorbitol-specific enzyme IIA component of PTS"
"b2705","srlD","sorbitol-6-phosphate dehydrogenase"
"b2706","srlM","sorbitol-responsive srl operon transcriptional activator"
"b2707","srlR","sorbitol-inducible srl operon transcriptional repressor"
"b2708","srlQ","D-arabinose 5-phosphate isomerase"
"b2709","norR","anaerobic nitric oxide reductase DNA-binding transcriptional activator"
"b2710","norV","anaerobic nitric oxide reductase flavorubredoxin"
"b2711","norW","NADH:flavorubredoxin oxidoreductase"
"b2712","hypF","carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases"
"b2713","hydN","formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit"
"b2714","ascG","asc operon transcriptional repressor; prpBC operon repressor"
"b2715","ascF","fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component"
"b2716","ascB","cryptic 6-phospho-beta-glucosidase"
"b2717","hycI","protease involved in processing C-terminal end of HycE"
"b2718","hycH","hydrogenase 3 maturation protein"
"b2719","hycG","hydrogenase 3 and formate hydrogenase complex, HycG subunit"
"b2720","hycF","formate hydrogenlyase complex iron-sulfur protein"
"b2721","hycE","hydrogenase 3, large subunit"
"b2722","hycD","hydrogenase 3, membrane subunit"
"b2723","hycC","hydrogenase 3, membrane subunit"
